"id_pair","curated_smiles_molecule_a","curated_smiles_molecule_b","tanimoto_cdk_Extended","TanimotoCombo","frac_similar"
1,"CCN(CC)CC(=O)Nc1c(C)cccc1C","CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C",0.641434262948207,1.623,0.4688
2,"Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O","Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2",0.928846153846154,1.812,0.9375
3,"COc1ccccc1OCC(O)CO","COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1",0.381118881118881,1.064,0.1406
4,"CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1","CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1",0.213429256594724,0.674,0.0313
5,"C[C@H](N)Cc1ccccc1","CC(C)(N)Cc1ccccc1",0.905660377358491,1.69,0.8828
6,"C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1","O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O",0.199386503067485,0.766,0.0078
7,"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I","O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F",0.865633074935401,1.832,0.9055
8,"CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1","O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1",0.22716049382716,0.698,0.0156
9,"COCCc1ccc(OCC(O)CNC(C)C)cc1","CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1",0.61231884057971,1.714,0.5669
10,"CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1","C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1",0.98874296435272,1.897,0.9844
11,"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C",0.712820512820513,1.951,0.9609
12,"OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1","Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1",0.310344827586207,1.042,0
13,"O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1","Nc1ccc(O)c(C(=O)O)c1",0.199335548172757,0.574,0.0078
14,"CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21","N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21",0.812339331619537,1.763,0.7421
15,"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO",0.968468468468468,1.817,0.9212
16,"CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1","CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1",0.721115537848606,1.371,0.5039
17,"CC(C)Cn1cnc2c(N)nc3ccccc3c21","Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1",0.292220113851992,0.729,0.0078
18,"COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1","CC(C)NCC(O)COc1cccc2ccccc12",0.638132295719844,1.429,0.2422
19,"CC(C)NCC(O)COc1cccc2ccccc12","C=CCc1ccccc1OCC(O)CNC(C)C",0.639405204460967,1.652,0.4961
20,"CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O","C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12",0.232203389830508,0.749,0.0078
21,"CCC1(CCC(C)C)C(=O)NC(=O)NC1=O","CCCCC1(CC)C(=O)NC(=O)NC1=O",1,1.839,0.9766
22,"CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21","CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21",0.904918032786885,1.938,0.9453
23,"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O","C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1",0.579524680073126,1.243,0.3937
24,"COc1ccccc1OCC(O)CO","COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1",0.254658385093168,0.983,0.0469
25,"CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1","c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1",0.212616822429906,0.936,0
26,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21","CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21",0.639013452914798,1.665,0.7953
27,"CC1NCCOC1c1ccccc1","N[C@@H](Cc1ccccc1)C(=O)O",0.432,1.333,0.1575
28,"OCC(O)COc1ccc(Cl)cc1","O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1",0.248299319727891,0.695,0.0156
29,"O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O","O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O",0.942424242424242,1.975,0.9453
30,"CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C","COc1ccccc1OCC(O)CO",0.179883945841393,0.729,0
31,"C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O","C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O",0.700348432055749,1.322,0.8359
32,"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O","C[C@H](N)[C@H](O)c1cccc(O)c1",0.301123595505618,0.739,0.0234
33,"C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1","CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1",0.799126637554585,1.46,0.8438
34,"N[C@@H](Cc1ccccc1)C(=O)O","CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1",0.545454545454545,1.077,0.25
35,"O=C(O)C1=C/C(=C/C=[N+]2/c3cc(O)c(O)cc3C[C@H]2C(=O)[O-])C[C@@H](C(=O)O)N1","Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C",0.432717678100264,0.76,0.0469
36,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21","Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1",0.782608695652174,1.944,0.8438
37,"CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1","CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12",0.337001375515818,0.674,0.0234
38,"O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1","CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1",0.39622641509434,0.999,0.0547
39,"NC(=O)N1c2ccccc2CC(=O)c2ccccc21","NNCCc1ccccc1",0.301818181818182,0.836,0.0156
40,"CCCC(C)C1(CC)C(=O)NC(=O)NC1=O","C=CCC1(C(C)C)C(=O)NC(=O)NC1=O",0.623287671232877,1.507,0.875
41,"C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1","C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O",0.483606557377049,0.905,0.1094
42,"CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O",0.713414634146341,1.55,0.5827
43,"N=C(N)NC(=O)Cc1c(Cl)cccc1Cl","CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1",0.257336343115124,0.8,0.0236
44,"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C","CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C",0.836363636363636,1.388,0.8125
45,"N[C@@H](Cn1ccc(=O)c(O)c1)C(=O)O","C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21",0.217917675544794,0.874,0.0156
46,"c1ccc2c(CC3=NCCN3)cccc2c1","c1ccc(CC2=NCCN2)cc1",0.963157894736842,1.622,0.7109
47,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21","NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12",0.522648083623693,1.344,0.4063
48,"NC(=O)c1ccccc1O","O=C(O)c1ccccc1O",0.558139534883721,1.571,0.811
49,"O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl","Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1",0.217054263565891,1.035,0.0156
50,"CN1C(=O)CC(c2ccccc2)C1=O","CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1",0.348659003831418,0.881,0.0313
51,"C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1","CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1",0.892929292929293,1.578,0.9375
52,"COc1ccc2[nH]cc(CCNC(C)=O)c2c1","CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1",0.549222797927461,1.17,0.5781
53,"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21","Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O",0.364937388193202,0.873,0.0156
54,"O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12","CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O",0.773529411764706,1.289,0.5078
55,"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21","CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1",0.298989898989899,1.024,0.1953
56,"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO",0.642533936651584,1.574,0.8976
57,"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O","C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O",0.978260869565217,1.774,0.9375
58,"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1","CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1",0.94551282051282,1.981,0.9765
59,"N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2","N=C(N)NCCC[C@H](N)C(=O)O",0.310077519379845,0.689,0.0078
60,"CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1","CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1",0.53757225433526,1.601,0.811
61,"O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O","CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5",0.302891933028919,0.818,0.0234
62,"N[C@@H](Cc1ccccc1)C(=O)O","CC(C)Cc1ccc(C(C)C(=O)O)cc1",0.489010989010989,1.136,0.1797
63,"NCCCC[C@H](N)C(=O)O","O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1",0.105405405405405,0.829,0
64,"O=C(O)c1ccccc1O","CC1=CC(=O)c2ccccc2C1=O",0.242990654205607,1.175,0.0234
65,"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO",0.986046511627907,1.748,0.9063
66,"Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12","Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12",0.98,1.98,0.9375
67,"COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314","COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314",0.90188679245283,1.815,0.9219
68,"CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO",0.682835820895522,1.619,0.7222
69,"CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1","CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1",0.593373493975904,1.412,0.375
70,"COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1","Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1",0.238476953907816,1.125,0.0859
71,"CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1","COCCc1ccc(OCC(O)CNC(C)C)cc1",0.894736842105263,1.881,0.9531
72,"COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1","COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]",0.7375,1.299,0.6641
73,"N[C@@H](Cc1cnc[nH]1)C(=O)O","CC(C)(N)Cc1ccccc1",0.185185185185185,1.151,0.0391
74,"N[C@@H](Cc1cnc[nH]1)C(=O)O","Cc1ncc(CO)c(CO)c1O",0.205607476635514,1.022,0.0078
75,"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2","CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O",0.770935960591133,1.603,0.5313
76,"CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21","CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1",0.294990723562152,0.822,0.0625
77,"CC(CN(C)C)CN1c2ccccc2Sc2ccccc21","COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2",0.783882783882784,1.478,0.9141
78,"C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1","Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1",0.337531486146096,0.898,0.0313
79,"CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1","CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1",0.244206773618538,1.146,0.0391
80,"CCOC(=O)C1(c2ccccc2)CCN(C)CC1","CCOC(=O)C1(c2ccccc2)CCN(C)CC1",1,2,0.9921
81,"C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2","CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1",0.314159292035398,0.83,0.0234
82,"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I","Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O",0.881578947368421,1.555,0.8594
83,"COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12","CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21",0.686274509803922,1.526,0.5591
84,"CCCC(C)C1(CC)C(=O)NC(=O)NC1=O","C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O",0.77124183006536,1.803,0.9141
85,"NCCCC[C@H](N)C(=O)O","NCCC[C@H](N)C(=O)O",0.715789473684211,1.843,0.9375
86,"CC(CNC1CCCCC1)OC(=O)c1ccccc1","NC(=O)NCCC[C@H](N)C(=O)O",0.231343283582089,0.848,0.0236
87,"C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O","N[C@@H](Cc1ccc(O)cc1)C(=O)O",0.756476683937824,1.735,0.8504
88,"NC(=O)CC[C@H](N)C(=O)O","Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1",0.143292682926829,0.896,0.0315
89,"CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2","CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2",0.957264957264957,1.888,0.9764
90,"CCC(NC(C)C)C(O)c1ccc(O)c(O)c1","CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21",0.262385321100917,0.9,0.0079
91,"CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21","CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21",0.694444444444444,1.615,0.8661
92,"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO","C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO",0.823834196891192,1.941,0.9297
93,"CC1(C)SC2C(NC(=O)C(N=[N+]=[N-])c3ccccc3)C(=O)N2C1C(=O)O","CC(CNC1CCCCC1)OC(=O)c1ccccc1",0.250513347022587,1.029,0.0156
94,"Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1","CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2",0.512755102040816,1.381,0.4609
95,"CNCCC=C1c2ccccc2CCc2ccccc21","CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21",0.348946135831382,1.251,0.0551
96,"CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21",0.483240223463687,1.145,0.3413
97,"C[C@H](N)[C@H](O)c1ccc(O)c(O)c1","C[C@@H](N)[C@@H](O)c1ccccc1",0.637755102040816,1.43,0.748
98,"CCOC(=O)C1(c2ccccc2)CCN(C)CC1","N[C@@H](Cc1ccc(O)cc1)C(=O)O",0.313868613138686,1.057,0.0159
99,"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1","C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12",0.618243243243243,1.579,0.6772
100,"CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1",0.807926829268293,1.389,0.7638
